"id","lon","lat","sum_raw","mean_raw","median_raw","sum_obj","mean_obj","median_obj","served_lsoa_i"
237,-0.133763375944568,51.5027238642641,158706419.403827,4832.12822444973,3506.64896012432,2301780561829318,70082223901.7573,20095841028.8,167
238,-0.0546543563808626,51.4947785968504,158924499.093766,4838.76808834996,3520.20236431337,2304162180673318,70154736958.754,20322433897.1252,40
239,-0.108380866227334,51.4960210259104,158810404.828516,4835.29426466071,3515.13746753318,2303059030977470,70121149402.5536,20235462553.0036,125
240,-0.179914281056783,51.5067738321027,158529873.480255,4826.75293753061,3487.82192734261,2300086462578252,70030643727.2638,19875804136.4607,242
241,-0.163441031343418,51.5068177676799,158579172.640717,4828.25394716591,3490.33819774469,2300441582027602,70041456035.4281,19892860028.1107,221
242,-0.143909887635704,51.5040032440934,158660547.414375,4830.73156175786,3497.79518102013,2301265680924810,70066547342.7357,20013293112.0184,181
243,-0.153100596935786,51.4868957759585,158651110.210016,4830.44422756107,3503.87963020578,2301445951060934,70072036020.6106,20058041685.006,195
244,-0.108974570825479,51.4831880820382,158841336.358975,4836.23603577441,3517.63262354224,2303446204222036,70132937651.3834,20266617795.0174,119
245,-0.0396104143688574,51.4865085120672,158897564.674992,4837.9480171414,3520.20236431337,2303995674596960,70149667354.6754,20310067630.8764,51
246,-0.0800015025356726,51.483819497469,158915983.389084,4838.50881101828,3520.20236431337,2304126324662330,70153645252.1718,20322433897.1252,44
247,-0.10375213536588,51.473676034907,158887183.030414,4837.63192760973,3519.73672374342,2303920789787012,70147387339.758,20310067630.8764,84
248,-0.157186890314413,51.4792025261038,158682189.717526,4831.39050412637,3506.03660817121,2301773278866062,70082002157.6563,20091901515.4674,200
249,-0.130812450511214,51.4732867620067,158817319.187692,4835.50478588758,3515.22704212642,2303258060456175,70127209245.4078,20250131384.4338,124
250,-0.0938974995553418,51.4647791693438,158911838.895148,4838.38262377139,3520.20236431337,2304114946153790,70153298811.1615,20322433897.1252,32
251,-0.0256206172907402,51.4602405914809,158928088.32195,4838.87736944191,3520.20236431337,2304181658901412,70155330011.6128,20322433897.1252,36
252,-0.0614492134044124,51.4581924123201,158925975.890666,4838.81305232815,3520.20236431337,2304172387591093,70155047728.3855,20322433897.1252,27
253,-0.1493994314432,51.4589857629815,158912633.642731,4838.40682142038,3519.67856899367,2304054388402859,70151455011.6569,20301819375.949,108
254,-0.401275805307504,51.5087046815394,158782273.436088,4834.4377492415,3514.89261528599,2302161740415638,70093829631.4589,20221122692.5797,101
255,-0.732119443950718,51.5011513323991,158914261.029681,4838.45637040803,3519.67856899367,2304055191074959,70151479450.5833,20300443058.7446,19
256,-0.756764944796468,51.5015467334381,158906831.037828,4838.23014973293,3519.72550703154,2304007411756823,70150024715.5287,20301819375.949,17
257,-0.710545222325089,51.5111708847199,158927003.290993,4838.84433354626,3519.78460360849,2304159880286831,70154666918.9755,20322433897.1252,32
258,-0.489381115783409,51.489360526552,158836882.925156,4836.10044224687,3516.00710065657,2302596595617528,70107069651.0025,20262921048.961,47
259,-0.492942137665003,51.5012144920174,158816351.664876,4835.47532775775,3515.00592266206,2302276628290152,70097327618.1388,20250131384.4338,55
260,-0.613918494533614,51.4866691849523,158864944.975528,4836.95484641115,3516.24036407209,2303398505998881,70131485385.4245,20260723321.5036,46
261,-0.580517025884255,51.4988293888821,158928796.278179,4838.89892455789,3520.20236431337,2304184996463100,70155431630.2247,20317760104.8986,58
262,-0.567930614074502,51.5105214942291,158905090.891115,4838.17716755312,3519.85998217857,2303989059564472,70149465947.0367,20304188241.0072,50
263,-0.561007749659499,51.4918783183333,158897892.128499,4837.95798710568,3519.72550703154,2303825709800114,70144492443.0677,20301819375.949,37
264,-0.557404112447795,51.4996221941876,158895833.458918,4837.89530687244,3519.73672374342,2303876883786940,70146050535.4689,20301819375.949,35
265,-0.630610494357405,51.4858487513135,158854088.666333,4836.62430478423,3515.31154807446,2303313453739652,70128895802.5713,20251997475.5365,44
266,-0.625013090312466,51.4972798713369,158844230.574816,4836.32415585241,3514.94758112841,2303168107196524,70124470441.984,20219774016.5045,61
267,-0.650488220350223,51.4976483184209,158848539.609681,4836.45535287056,3514.61440050976,2303220951887547,70126079402.2514,20221122692.5797,51
268,-0.417258399971365,51.4891770655361,158795243.935249,4834.83266152872,3514.49764310324,2302216034907315,70095482733.7509,20212754134.0809,73
269,-0.413100874703596,51.4850502302262,158807771.396795,4835.21408466675,3514.97261683947,2302434756556130,70102142143.3482,20218428320.237,70
270,-0.445900478362333,51.4426448205377,158926586.414852,4838.83164093448,3520.20236431337,2304157631458754,70154598448.9939,20322433897.1252,31
271,-0.428183149445955,51.4423836937101,158907517.852813,4838.25106116226,3520.20236431337,2304048097628456,70151263476.6915,20317760104.8986,31
272,-0.522775785893212,51.436635992584,158826938.769042,4835.79767290958,3515.22704212642,2302743469611857,70111541517.8376,20247393697.4235,38
273,-0.551212821355644,51.4419603391835,158830241.323003,4835.89822564251,3515.31154807446,2302679612147752,70109597252.0933,20251997475.5365,37
274,-0.476465324370551,51.4274044846153,158860670.967503,4836.82471585382,3517.8546122951,2303361561490368,70130360537.4001,20269549560.0457,42
275,-0.718091204832726,51.4166512193569,158813325.198708,4835.3831810592,3515.06022503671,2302471259527466,70103253547.9073,20251997475.5365,48
276,-0.499486471635746,51.4271771780373,158829981.442484,4835.89031307039,3515.84838010855,2302901219950582,70116344536.3105,20256093986.9695,40
277,-0.493218333515666,51.4352959077726,158840892.284671,4836.22251506122,3517.33681441654,2303030509885465,70120281021.9664,20260723321.5036,43
278,-0.614389675016504,51.4347661300594,158839759.598984,4836.18802822385,3518.76651176415,2302453045321909,70102698980.6939,20283931373.2255,38
279,-0.651438823911738,51.4681505161478,158860430.732894,4836.81740143995,3516.84832476512,2303170568914361,70124545393.812,20262921048.961,33
280,-0.596441424923559,51.4742861606823,158867411.334102,4837.02993953544,3517.69979234939,2303245481360164,70126826250.1572,20272115636.9362,40
281,-0.76660359893972,51.4053636677423,158861007.255463,4836.83495480037,3516.00710065657,2303317920561552,70129031803.7253,20260723321.5036,59
282,-0.738906299356794,51.4077179615532,158813617.137635,4835.39206971243,3515.52720982648,2302624850196999,70107929917.0929,20256093986.9695,55
283,-0.725933576652131,51.4148408346628,158810470.875321,4835.29627558523,3515.13746753318,2302503254086809,70104227685.0204,20251997475.5365,48
